time_s,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,surface,radius_cm,cmax_kg_kg,volume_mean_kg_kg
1980.0,2.549999999999997,2.5500000000000016,2.550000000000004,2.550000000000004,2.5499999999999425,2.549999999998048,2.5499999999471337,2.549999998833257,2.5499999791187125,2.549999697884097,2.5499964702536744,2.5499667031353277,2.549746194018414,2.5484328715899607,2.5421327014056634,2.517717145504155,2.440965484749404,2.2439486257139447,1.8264023452720166,,1.394095443064691,1.8636591591090803,2.550000000000007,2.411794104990566
2040.0,2.550000000000002,2.549999999999998,2.550000000000004,2.5500000000000016,2.549999999999839,2.5499999999952747,2.5499999998848355,2.549999997698659,2.5499999624353187,2.549999500955197,2.5499946124467865,2.5499527265439563,2.5496622681655268,2.548031979984619,2.540611228953983,2.513137758368821,2.430064683268704,2.2236154767627805,1.7973688294769243,,1.3866279206889818,1.8607090818452952,2.550000000000005,2.4080362858959647
2100.0,2.5500000000000047,2.5499999999999967,2.5500000000000016,2.549999999999986,2.5499999999995873,2.5499999999890717,2.549999999759142,2.549999995614109,2.5499999344372144,2.5499991973587965,2.5499919561972213,2.549934064122051,2.5495572258819243,2.5475574604528144,2.538896679820609,2.5081930300194966,2.4187148209222227,2.203095305672931,1.7688467494141276,,1.3792143445855491,1.8578318897138144,2.5500000000000047,2.404243971467472
2160.0,2.550000000000004,2.550000000000001,2.5500000000000016,2.5499999999999616,2.5499999999989864,2.5499999999757823,2.5499999995141187,2.5499999919134675,2.549999888767451,2.5499987389680636,2.549988235823286,2.5499095828589065,2.5494272665462883,2.547001403667539,2.5369790930437293,2.502883200491781,2.4069446635606457,2.182445370553133,1.740880922391227,,1.371880085887833,1.8550222528840665,2.550000000000005,2.400422531749915
2220.0,2.5500000000000056,2.550000000000001,2.5500000000000007,2.5499999999999026,2.549999999997623,2.549999999948329,2.5499999990536657,2.5499999855295425,2.549999816119316,2.5499980633806207,2.549983105555066,2.5498779553027386,2.5492685044294143,2.546355890976385,2.534849539718833,2.497207961883896,2.39477982367799,2.161701375500659,1.7134723331927852,,1.3648186269511715,1.8522748415254775,2.550000000000006,2.39657626000015
2280.0,2.550000000000007,2.5500000000000034,2.5499999999999954,2.5499999999997693,2.5499999999946508,2.549999999893721,2.5499999982147683,2.5499999748202407,2.5499997033491852,2.5499970861255625,2.549976166219261,2.549837589462418,2.5490767778887897,2.5456118790109663,2.532499413562109,2.4911693966402075,2.3822407070105154,2.14089116291626,1.6866727839229367,,1.3578953998962602,1.8495843258074756,2.5500000000000074,2.3927083750765012
2340.0,2.5500000000000065,2.5500000000000047,2.549999999999981,2.5499999999994474,2.549999999988386,2.549999999788725,2.549999996729725,2.5499999573260865,2.5499995319887705,2.54999569991374,2.5499669167815116,2.5497867722675145,2.5488475849469285,2.5447620093341197,2.529921230047816,2.484772902005614,2.369356495369935,2.120062788847003,1.6604758749712625,,1.3511684135526552,1.8469453758994858,2.550000000000008,2.38882246891327
2400.0,2.550000000000005,2.5500000000000003,2.549999999999944,2.549999999998742,2.5499999999756717,2.5499999995927665,2.5499999941761886,2.5499999293711526,2.5499992771795514,2.549993766914579,2.549954760678977,2.549723598030933,2.5485757037414496,2.543798441357884,2.527107706403285,2.4780228944096296,2.3561480594625333,2.0992394773003213,1.6349001646735886,,1.344631329224321,1.8443526619709374,2.550000000000009,2.384922340779303
2460.0,2.5500000000000056,2.5499999999999967,2.549999999999863,2.5499999999972247,2.5499999999506917,2.5499999992377806,2.549999989891163,2.5499998857833996,2.549998904920601,2.549991114559135,2.5499390225063565,2.54964576175744,2.5482565488503233,2.5427134218090104,2.5240506738733903,2.4709271163135145,2.3426459832889504,2.0784678522043123,1.6099388227958942,,1.3383254170001138,1.8418008541912556,2.5500000000000065,2.3810132992009465
2520.0,2.5500000000000016,2.549999999999988,2.5499999999996796,2.549999999994083,2.5499999999031178,2.5499999986124466,2.54999998287148,2.5499998190924313,2.549998371735952,2.5499875309971647,2.5499188499889143,2.549550998436876,2.5478850085102556,2.5414981002605357,2.5207479117905485,2.463492857742132,2.328872166869479,2.0577670192126587,1.5856062232618549,,1.3322216113741898,1.839284622729869,2.5500000000000016,2.377098876093744
2580.0,2.5499999999999976,2.5499999999999607,2.5499999999992724,2.5499999999877874,2.549999999814941,2.549999997538343,2.549999971639039,2.5499997191272508,2.549997618864903,2.5499827544527442,2.549893361582784,2.549436725861923,2.547455104329198,2.540145673973113,2.5171959779356614,2.455731057522952,2.3148597195188363,2.0371907438064474,1.5618820460812826,,1.3261525603008986,1.8367986377562027,2.5499999999999976,2.373184514240295
2640.0,2.549999999999988,2.549999999999905,2.5499999999984255,2.549999999975552,2.5499999996560563,2.549999995734784,2.549999954014996,2.5499995720370956,2.549996574989016,2.5499764757671537,2.549861449148136,2.549299963796821,2.5469618612145015,2.5386502537114652,2.5133939342225338,2.4476569125991197,2.300637297216003,2.0167697766186463,1.538686652619673,,1.3203547697269917,1.834337569439685,2.549999999999988,2.369275133410336
2700.0,2.5499999999999634,2.549999999999772,2.5499999999966927,2.5499999999524388,2.5499999993769724,2.549999992777581,2.549999926912946,2.5499993589424435,2.549995145244247,2.5499683187548903,2.549821955931786,2.5491379940355094,2.5464001085641557,2.5370056938585135,2.509338780802761,2.4392727664097453,2.286225439271424,1.996489639774031,1.5160729455248145,,1.3148322239025343,1.831896087949743,2.5499999999999634,2.3653733626123783
2760.0,2.5499999999999097,2.549999999999491,2.5499999999932554,2.5499999999099288,2.549999998898378,2.549999988031126,2.5499998860384294,2.5499990557525116,2.549993217849291,2.549957853263935,2.549773533953966,2.5489474448798175,2.545763451904036,2.5352031445815877,2.505027349968771,2.4305963300024898,2.271653410952157,1.9763910998691854,1.4940028744497864,,1.3093786295815422,1.8294688634558032,2.5499999999999097,2.36148464440165
2820.0,2.549999999999784,2.549999999998908,2.549999999986644,2.549999999833627,2.549999998095159,2.5499999805546736,2.549999825381557,2.5499986302429187,2.5499906497192475,2.5499445624427763,2.549714693891919,2.548725035589947,2.545046958672003,2.5332399996277037,2.50046559495229,2.4216478861439543,2.256959017034058,1.9565127974319712,1.4723827077406522,,1.3040414221738559,1.8270505661272922,2.549999999999784,2.3576151107525445
2880.0,2.5499999999995135,2.5499999999977345,2.549999999974237,2.5499999996999114,2.549999996775694,2.5499999690007935,2.5499997368780773,2.5499980418851194,2.5499872720162196,2.549927872447548,2.5496438828590104,2.5484675749424968,2.544245836864356,2.531112355055625,2.4956570596825802,2.4124438213665877,2.2421633689900724,1.9368413372593942,1.4512100898460285,,1.2990231569583472,1.824635866133638,2.5499999999995135,2.353768438963089
2940.0,2.5499999999989553,2.5499999999954372,2.5499999999515377,2.5499999994708724,2.5499999946523366,2.5499999514720444,2.5499996098477524,2.549997239960239,2.5499828810560388,2.549907104902276,2.549559245059372,2.5481709273213857,2.543353789498614,2.52881498381664,2.490603871024923,2.4029950534340094,2.227278344251994,1.917369857625378,1.4305208271895062,,1.294184804083215,1.8222194336442668,2.5499999999989553,2.349949161975293
3000.0,2.5499999999978322,2.549999999991042,2.5499999999109777,2.549999999086848,2.5499999913000346,2.549999925324246,2.549999429968925,2.549996158692821,2.549977232169557,2.549881524898245,2.549459068524213,2.5478320322977988,2.5423664487015136,2.5263434438337757,2.485306356706737,2.393321275403322,2.2123377207592902,1.8981367192099248,1.4101659293526794,,1.289454227682244,1.819795938828606,2.5499999999978322,2.346162462448568
3060.0,2.549999999995626,2.5499999999828487,2.549999999840124,2.549999998455879,2.5499999861012803,2.5499998868757046,2.549999178916349,2.549994721418421,2.5499700492404047,2.5498502709226436,2.549341111655495,2.5474469648318974,2.5412797088190726,2.5236978574358524,2.479773630059624,2.3834330850507954,2.1973566458272966,1.8791253657147486,1.3901778472736086,,1.284988786693883,1.8173600518560824,2.549999999995626,2.342413251559411
3120.0,2.549999999991401,2.5499999999679277,2.5499999997189757,2.549999997438911,2.5499999781679867,2.5499998312704246,2.549998833430125,2.549992830779795,2.5499609907255585,2.54981244149834,2.5492034925149456,2.547011807549541,2.5400879176760633,2.5208765128341173,2.4740127009289767,2.373348341168134,2.1823458157911295,1.8603148773761784,1.3705789226868366,,1.2809240885970343,1.8149064428961228,2.549999999991401,2.338705315011203
