study,level,level_time_s,radius_cm,temperature_signed_error_C,temperature_absolute_error_C,moisture_signed_error,moisture_absolute_error
time,0.5,86400.0,0.3,-2.575006874394603e-11,2.575006874394603e-11,-3.2253394399717195e-11,3.2253394399717195e-11
time,0.5,86400.0,0.4,-2.5352164811920375e-11,2.5352164811920375e-11,-3.192832109810695e-11,3.192832109810695e-11
time,0.5,86400.0,0.5,-2.489741746103391e-11,2.489741746103391e-11,-3.1506908193534855e-11,3.1506908193534855e-11
time,0.5,86400.0,0.6,-2.4215296434704214e-11,2.4215296434704214e-11,-3.0989072419274066e-11,3.0989072419274066e-11
time,0.5,86400.0,0.7,-2.432898327242583e-11,2.432898327242583e-11,-3.037126106164578e-11,3.037126106164578e-11
time,0.5,86400.0,0.8,-2.461320036672987e-11,2.461320036672987e-11,-2.965502843288448e-11,2.965502843288448e-11
time,0.5,86400.0,0.9,-2.3987922759260982e-11,2.3987922759260982e-11,-2.8844121535698264e-11,2.8844121535698264e-11
time,0.5,86400.0,1.0,-2.3362645151792094e-11,2.3362645151792094e-11,-2.7925245449367253e-11,2.7925245449367253e-11
time,0.5,86400.0,1.1,-2.2964741219766438e-11,2.2964741219766438e-11,-2.689190536919739e-11,2.689190536919739e-11
time,0.5,86400.0,1.2,-2.2737367544323206e-11,2.2737367544323206e-11,-2.5729141039931847e-11,2.5729141039931847e-11
time,0.5,86400.0,1.3,-2.2453150450019166e-11,2.2453150450019166e-11,-2.4411583865457942e-11,2.4411583865457942e-11
time,0.5,86400.0,1.4,-2.2225776774575934e-11,2.2225776774575934e-11,-2.288383371684688e-11,2.288383371684688e-11
time,0.5,86400.0,1.5,-2.1657342585967854e-11,2.1657342585967854e-11,-2.1021906437823645e-11,2.1021906437823645e-11
time,0.5,86400.0,1.6,-2.0406787371030077e-11,2.0406787371030077e-11,-1.8538032220405398e-11,1.8538032220405398e-11
time,0.5,86400.0,1.7,-1.745092959026806e-11,1.745092959026806e-11,-1.4777817858302456e-11,1.4777817858302456e-11
time,0.5,86400.0,1.8,-1.6655121726216748e-11,1.6655121726216748e-11,-8.03720978659328e-12,8.03720978659328e-12
