time_s,step_dt_s,C_inf,D_surface,robin_flux,literal_one_sided_diffusive_flux,literal_diffusive_minus_robin,face_diffusive_flux,face_diffusive_minus_robin,surface_control_volume_balance,picard_iterations,picard_final_normalized_residual,temperature_matrix_residual_linf,moisture_matrix_residual_linf,time_step_residual_normalized,time_alignment_error_s
4.0,0.0625,0.019656,4.904061046273768e-09,1.985137918961827e-06,8.225515694108086e-07,-1.1625863495510185e-06,8.249718722665265e-07,-1.1601660466953005e-06,1.342171350527722e-17,2,8.523543352604558e-09,5.684341886080802e-14,8.881784197001252e-16,3.4830526262749545e-16,0.0
4.0625,0.0625,0.01965640625,4.903656050590348e-09,1.984673328614771e-06,8.303747170248722e-07,-1.154298611589899e-06,8.328422976772639e-07,-1.1518310309375071e-06,1.3646561048103834e-17,2,8.57465958803198e-09,5.684341886080802e-14,8.881784197001252e-16,3.483052626274954e-16,0.0
4.125,0.0625,0.019656812500000002,4.903253764465322e-09,1.9842120196679084e-06,8.380926859380082e-07,-1.1461193337299002e-06,8.406073850581646e-07,-1.1436046346097439e-06,1.3883214112632805e-17,2,8.62436518714576e-09,1.1368683772161603e-13,4.440892098500626e-16,3.775070909455399e-16,0.0
4.1875,0.0625,0.01965721875,4.902854153827942e-09,1.9837539494710643e-06,8.457071204918709e-07,-1.1380468289791934e-06,8.482687708233699e-07,-1.1354851786476945e-06,1.4110073358709148e-17,2,8.67269201987743e-09,1.1368683772161603e-13,4.440892098500626e-16,3.775070472644362e-16,0.0
4.25,0.0625,0.019657625,4.902457185107296e-09,1.9832990760325004e-06,8.532196372080413e-07,-1.1300794388244592e-06,8.558280639814007e-07,-1.1274710120510997e-06,1.4339447233847652e-17,2,8.719671607853255e-09,5.684341886080802e-14,4.440892098500626e-16,1.8875350163221866e-16,0.0
4.3125,0.0625,0.019658031250000003,4.9020628252246205e-09,1.9828473580079155e-06,8.606318252836328e-07,-1.1222155327242827e-06,8.632868466152293e-07,-1.119560511392686e-06,1.454249029572737e-17,2,8.76533582100477e-09,5.684341886080802e-14,4.440892098500626e-16,1.8875347947403345e-16,0.0
4.375,0.0625,0.0196584375,4.901671041585721e-09,1.9823987546896464e-06,8.679452470775396e-07,-1.1144535076121068e-06,8.70646674353529e-07,-1.1117520803361174e-06,1.4788791594921158e-17,2,8.809714091126662e-09,1.7053025658242404e-13,4.440892098500626e-16,5.662603714766902e-16,0.0
4.4375,0.0625,0.019658843750000002,4.901281802073518e-09,1.9819532259960467e-06,8.75161438587835e-07,-1.1067917874082115e-06,8.779090768335905e-07,-1.1040441491624561e-06,1.4988611961134368e-17,2,8.852836894929415e-09,1.1368683772161603e-13,4.440892098500626e-16,3.7750686937603175e-16,0.0
4.5,0.0625,0.019659250000000003,4.900895075040696e-09,1.9815107324610616e-06,8.822819099200896e-07,-1.0992288225409721e-06,8.850755581556593e-07,-1.0964351743054023e-06,1.5216754991521393e-17,2,8.8947324451393e-09,1.1368683772161603e-13,4.440892098500626e-16,3.775068241251447e-16,0.0
4.5625,0.0625,0.01965965625,4.90051082930247e-09,1.9810712352239783e-06,8.893081457472534e-07,-1.0917630894767249e-06,8.921475973293212e-07,-1.0889236378946571e-06,1.5436560041333884e-17,2,8.935428954482588e-09,5.684341886080802e-14,4.440892098500626e-16,1.8875338928372267e-16,0.0
