test_case,reference_case,time_s,position_label,position_cm,C_ref_kg_kg,C_test_kg_kg,signed_error,absolute_error
N80_dt0.125,N80_dt0.0625_ref,5.375,r_1.5cm,1.5,2.550000000000001,2.550000000000014,1.2878587085651816e-14,1.2878587085651816e-14
N80_dt0.125,N80_dt0.0625_ref,5.375,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,5.375,center,0.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,5.5,surface,2.0,2.488182808756258,2.488317009911711,0.00013420115545281774,0.00013420115545281774
N80_dt0.125,N80_dt0.0625_ref,5.5,r_1.5cm,1.5,2.550000000000001,2.550000000000014,1.2878587085651816e-14,1.2878587085651816e-14
N80_dt0.125,N80_dt0.0625_ref,5.5,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,5.5,center,0.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,5.625,surface,2.0,2.487195683627975,2.4873296266060407,0.00013394297806579303,0.00013394297806579303
N80_dt0.125,N80_dt0.0625_ref,5.625,r_1.5cm,1.5,2.550000000000001,2.550000000000014,1.2878587085651816e-14,1.2878587085651816e-14
N80_dt0.125,N80_dt0.0625_ref,5.625,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,5.625,center,0.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,5.75,surface,2.0,2.48622050726988,2.486354144533008,0.00013363726312798363,0.00013363726312798363
N80_dt0.125,N80_dt0.0625_ref,5.75,r_1.5cm,1.5,2.550000000000001,2.550000000000014,1.2878587085651816e-14,1.2878587085651816e-14
N80_dt0.125,N80_dt0.0625_ref,5.75,r_1.0cm,1.0,2.55,2.55,0.0,0.0
N80_dt0.125,N80_dt0.0625_ref,5.75,center,0.0,2.55,2.55,0.0,0.0
