test_case,reference_case,time_s,position_label,position_cm,C_ref_kg_kg,C_test_kg_kg,signed_error,absolute_error
N80_dt1,N80_dt0.0625_ref,22.0,center,0.0,2.55,2.55,0.0,0.0
N80_dt1,N80_dt0.0625_ref,23.0,surface,2.0,2.404350657649464,2.405276602652278,0.0009259450028138438,0.0009259450028138438
N80_dt1,N80_dt0.0625_ref,23.0,r_1.5cm,1.5,2.550000000000001,2.5499999999999936,-7.549516567451064e-15,7.549516567451064e-15
N80_dt1,N80_dt0.0625_ref,23.0,r_1.0cm,1.0,2.55,2.5500000000000007,8.881784197001252e-16,8.881784197001252e-16
N80_dt1,N80_dt0.0625_ref,23.0,center,0.0,2.55,2.55,0.0,0.0
N80_dt1,N80_dt0.0625_ref,24.0,surface,2.0,2.401081596091831,2.401980423446562,0.0008988273547307912,0.0008988273547307912
N80_dt1,N80_dt0.0625_ref,24.0,r_1.5cm,1.5,2.550000000000001,2.5499999999999896,-1.1546319456101628e-14,1.1546319456101628e-14
N80_dt1,N80_dt0.0625_ref,24.0,r_1.0cm,1.0,2.55,2.5500000000000007,8.881784197001252e-16,8.881784197001252e-16
N80_dt1,N80_dt0.0625_ref,24.0,center,0.0,2.55,2.55,0.0,0.0
N80_dt1,N80_dt0.0625_ref,25.0,surface,2.0,2.397891644342205,2.3987655537999966,0.000873909457791644,0.000873909457791644
N80_dt1,N80_dt0.0625_ref,25.0,r_1.5cm,1.5,2.550000000000001,2.5499999999999834,-1.7763568394002505e-14,1.7763568394002505e-14
N80_dt1,N80_dt0.0625_ref,25.0,r_1.0cm,1.0,2.55,2.5500000000000007,8.881784197001252e-16,8.881784197001252e-16
N80_dt1,N80_dt0.0625_ref,25.0,center,0.0,2.55,2.55,0.0,0.0
N80_dt1,N80_dt0.0625_ref,26.0,surface,2.0,2.3947755283168175,2.3956264718855387,0.0008509435687211742,0.0008509435687211742
N80_dt1,N80_dt0.0625_ref,26.0,r_1.5cm,1.5,2.550000000000001,2.549999999999974,-2.708944180085382e-14,2.708944180085382e-14
N80_dt1,N80_dt0.0625_ref,26.0,r_1.0cm,1.0,2.55,2.5500000000000007,8.881784197001252e-16,8.881784197001252e-16
N80_dt1,N80_dt0.0625_ref,26.0,center,0.0,2.55,2.55,0.0,0.0
N80_dt1,N80_dt0.0625_ref,27.0,surface,2.0,2.391728540996765,2.392558252681746,0.0008297116849811381,0.0008297116849811381
N80_dt1,N80_dt0.0625_ref,27.0,r_1.5cm,1.5,2.550000000000001,2.5499999999999585,-4.263256414560601e-14,4.263256414560601e-14
N80_dt1,N80_dt0.0625_ref,27.0,r_1.0cm,1.0,2.55,2.5500000000000007,8.881784197001252e-16,8.881784197001252e-16
N80_dt1,N80_dt0.0625_ref,27.0,center,0.0,2.55,2.55,0.0,0.0
N80_dt1,N80_dt0.0625_ref,28.0,surface,2.0,2.3887464611669595,2.389556483832841,0.0008100226658815934,0.0008100226658815934
N80_dt1,N80_dt0.0625_ref,28.0,r_1.5cm,1.5,2.550000000000001,2.5499999999999345,-6.661338147750939e-14,6.661338147750939e-14
N80_dt1,N80_dt0.0625_ref,28.0,r_1.0cm,1.0,2.55,2.5500000000000007,8.881784197001252e-16,8.881784197001252e-16
N80_dt1,N80_dt0.0625_ref,28.0,center,0.0,2.55,2.55,0.0,0.0
N80_dt1,N80_dt0.0625_ref,29.0,surface,2.0,2.3858254861578754,2.3866171954576942,0.0007917092998188657,0.0007917092998188657
N80_dt1,N80_dt0.0625_ref,29.0,r_1.5cm,1.5,2.550000000000001,2.549999999999898,-1.0302869668521453e-13,1.0302869668521453e-13
N80_dt1,N80_dt0.0625_ref,29.0,r_1.0cm,1.0,2.55,2.5500000000000007,8.881784197001252e-16,8.881784197001252e-16
N80_dt1,N80_dt0.0625_ref,29.0,center,0.0,2.55,2.55,0.0,0.0
N80_dt1,N80_dt0.0625_ref,30.0,surface,2.0,2.3829621758662083,2.383736801345676,0.0007746254794676055,0.0007746254794676055
N80_dt1,N80_dt0.0625_ref,30.0,r_1.5cm,1.5,2.550000000000001,2.549999999999844,-1.5720758028692217e-13,1.5720758028692217e-13
N80_dt1,N80_dt0.0625_ref,30.0,r_1.0cm,1.0,2.55,2.5500000000000007,8.881784197001252e-16,8.881784197001252e-16
N80_dt1,N80_dt0.0625_ref,30.0,center,0.0,2.55,2.55,0.0,0.0
N80_dt1,N80_dt0.0625_ref,31.0,surface,2.0,2.380153405905369,2.380912049480703,0.0007586435753341725,0.0007586435753341725
N80_dt1,N80_dt0.0625_ref,31.0,r_1.5cm,1.5,2.550000000000007,2.5499999999997645,-2.424727085781342e-13,2.424727085781342e-13
N80_dt1,N80_dt0.0625_ref,31.0,r_1.0cm,1.0,2.55,2.5500000000000007,8.881784197001252e-16,8.881784197001252e-16
N80_dt1,N80_dt0.0625_ref,31.0,center,0.0,2.55,2.55,0.0,0.0
N80_dt1,N80_dt0.0625_ref,32.0,surface,2.0,2.3773963281832367,2.37813998023459,0.000743652051353294,0.000743652051353294
N80_dt1,N80_dt0.0625_ref,32.0,r_1.5cm,1.5,2.550000000000007,2.549999999999649,-3.5793590313915047e-13,3.5793590313915047e-13
N80_dt1,N80_dt0.0625_ref,32.0,r_1.0cm,1.0,2.55,2.5500000000000007,8.881784197001252e-16,8.881784197001252e-16
N80_dt1,N80_dt0.0625_ref,32.0,center,0.0,2.55,2.55,0.0,0.0
N80_dt1,N80_dt0.0625_ref,33.0,surface,2.0,2.374688337552563,2.3754178908890764,0.0007295533365132556,0.0007295533365132556
N80_dt1,N80_dt0.0625_ref,33.0,r_1.5cm,1.5,2.5500000000000007,2.5499999999994833,-5.173639294753229e-13,5.173639294753229e-13
N80_dt1,N80_dt0.0625_ref,33.0,r_1.0cm,1.0,2.55,2.5500000000000007,8.881784197001252e-16,8.881784197001252e-16
N80_dt1,N80_dt0.0625_ref,33.0,center,0.0,2.55,2.55,0.0,0.0
N80_dt1,N80_dt0.0625_ref,34.0,surface,2.0,2.372027043451609,2.3727433053998297,0.000716261948220609,0.000716261948220609
