time_s,radius_cm,cmax_kg_kg,center_kg_kg,surface_kg_kg,volume_mean_kg_kg,picard_iterations,nonlinear_residual,linear_residual,radius_rate_cm_s,mass_step_residual,robin_residual
4920.0,1.7265977899782134,2.5499973886347025,2.5499973886347025,1.2268278230145924,2.2469369748716526,4,4.703915875416153e-11,1.3642420526593924e-12,-5.113907477608354e-05,-0.00014515671846698677,-2.0152458290177554e-08
4980.0,1.7235414191721135,2.549996657003028,2.549996657003028,1.2250278178432954,2.243991244730494,4,3.568420470088273e-11,1.8758328224066645e-12,-5.075718080367949e-05,-0.00014411788209178333,-2.0419663875414072e-08
5040.0,1.720509552941177,2.549995748740241,2.549995748740241,1.222974358460765,2.2410193910430936,4,3.947429436308118e-11,1.5347723092418164e-12,-5.032557005567659e-05,-0.00014290574473397948,-2.030745673151246e-08
5100.0,1.7175051742919392,2.5499946283422825,2.5499946283422825,1.2208619049136247,2.238018830388561,4,4.3386348850498146e-11,2.0463630789890885e-12,-4.984424253207452e-05,-0.0001415450887651314,-1.9976684585825707e-08
5160.0,1.714531266230937,2.549993254741803,2.549993254741803,1.2188272562046554,2.2349856478893924,4,5.0358255011226064e-11,2.3305801732931286e-12,-4.931319823287342e-05,-0.00014005233992261934,-1.933009024818728e-08
5220.0,1.7115908117647058,2.5499915807570215,2.5499915807570215,1.2167326563066245,2.231915664975417,4,4.2640471544382135e-11,1.4779288903810084e-12,-4.873243715807311e-05,-0.00013840605926239468,-1.9306599315941784e-08
5280.0,1.708686793899782,2.5499895525091243,2.5499895525091243,1.2143695349004375,2.2288069282474723,4,4.115662700057621e-11,2.6716406864579767e-12,-4.810195930767371e-05,-0.00013658355354010266,-1.931358230716676e-08
5340.0,1.7058221956427018,2.5499871087725237,2.5499871087725237,1.211954459597243,2.2256579574293633,4,4.8689689252900427e-11,1.4779288903810084e-12,-4.742176468167518e-05,-0.00013461463052055625,-1.8732165138978653e-08
5400.0,1.703,2.5499841803087326,2.5499841803087326,1.2093837154885745,2.2224650223950118,4,4.269651741958143e-11,1.8758328224066645e-12,-4.6691853280077486e-05,-0.00013248298179712413,-1.8805638406636642e-08
5460.0,1.7001822456140352,2.5499806892608574,2.5499806892608574,1.2069496366207135,2.2192744065308956,4,4.968027615108623e-11,1.7053025658242404e-12,-4.7226541910331406e-05,-0.00013395578060851148,-1.8141168131360547e-08
5520.0,1.6973323508771931,2.549976548560378,2.549976548560378,1.204732101757406,2.2161280028465913,4,4.1079829824337496e-11,1.9326762412674725e-12,-4.772291617933727e-05,-0.0001353433917505838,-1.8221210472298222e-08
5580.0,1.6944553684210526,2.549971661312907,2.549971661312907,1.2025235834061074,2.213017748908528,4,4.00582769360816e-11,1.8758328224066645e-12,-4.81350799220273e-05,-0.00013649393369435242,-1.8232311975896084e-08
5640.0,1.6915563508771931,2.549965920162123,2.549965920162123,1.2004095688801575,2.2099378301586294,4,4.0288640243032405e-11,1.5347723092418164e-12,-4.846303313840154e-05,-0.00013741872072482676,-1.8086555057592016e-08
5700.0,1.6886403508771934,2.549959206666353,2.549959206666353,1.1984133788911557,2.2068814036810354,4,4.290782509514519e-11,1.5347723092418164e-12,-4.870677582846005e-05,-0.00013812072454028566,-1.7828877486583368e-08
5760.0,1.685712421052632,2.5499513907907447,2.5499513907907447,1.196479813214237,2.2038418264963138,4,3.8008961816518953e-11,2.0463630789890885e-12,-4.8866307992202735e-05,-0.00013859117530379966,-1.7845302267780012e-08
5820.0,1.6827776140350876,2.549942330444605,2.549942330444605,1.1944206233725727,2.200813220570826,4,3.5616499695272896e-11,1.7053025658242404e-12,-4.894162962962971e-05,-0.00013880732738602661,-1.8007482380942174e-08
5880.0,1.6798409824561407,2.549931870963239,2.549931870963239,1.1923819793021317,2.1977908120505667,4,4.012729182276724e-11,1.8758328224066645e-12,-4.8932740740740825e-05,-0.000138789206712484,-1.7727209473285457e-08
5940.0,1.6769075789473682,2.5499198446792883,2.5499198446792883,1.1905143361741228,2.1947670196390576,4,4.751454859826069e-11,1.3642420526593924e-12,-4.8839641325536125e-05,-0.00013855482601159695,-1.716598802354285e-08
6000.0,1.673982456140351,2.549906070741497,2.549906070741497,1.1887642892297978,2.191734271884372,4,4.134229390666145e-11,1.7621459846850485e-12,-4.866233138401592e-05,-0.00013809321489123604,-1.7032050359295295e-08
6060.0,1.6710706666666666,2.5498903548528893,2.5498903548528893,1.1868523309741,2.188687640947542,4,3.792439943005457e-11,1.8189894035458565e-12,-4.840081091617955e-05,-0.00013737019987423093,-1.7132127543594493e-08
